section,step,action,column,role,value,scope,detail,rows_in,rows_affected,rows_out,animal_id_in,animal_id_affected,animal_id_out
stage,0,read,OC_raw.csv.gz,,,,11 column(s),192149,0,192149,160819,0,160819
stage,0,parse_dates,intake_date,,,,0 of 192149 supplied value(s) unparseable as ISO8601,192149,0,192149,160819,0,160819
stage,0,parse_dates,outcome_date,,,,0 of 191664 supplied value(s) unparseable as ISO8601,192149,0,192149,160819,0,160819
stage,0,parse_dates,dob,,,,0 of 191482 supplied value(s) unparseable as ISO8601,192149,0,192149,160819,0,160819
stage,0,derive,"nights, night_sign, window_presence, age, age_group",,,,"computed nights, night_sign, window_presence, age, age_group",192149,0,192149,160819,0,160819
stage,1,cut,animal_type,,,,"drop where animal_type in (BIRD, CAT, LIVESTOCK, OTHER)",192149,147385,44764,160819,123514,37305
stage,2,cut,window_presence,,,,"drop where window_presence in (AFTER, BEFORE, _UNKNOWN_)",44764,2497,42267,37305,2296,35196
stage,3,cut,intake_type,,,,"drop where intake_type in (DISPO REQ, EUTH REQ, FOUND, LOST, SURGERY)",42267,1975,40292,35196,1974,33309
stage,4,cut,intake_cond,,,,"drop where intake_cond in (DEAD, HEAD TEST)",40292,2904,37388,33309,2899,30500
stage,5,cut,outcome_type,,,,"drop where outcome_type in (DELETE DUP, FOUND EXP, HOME EXP, LOST EXP)",37388,1976,35412,30500,1964,28729
stage,6,cut,intake_type,,,,"drop where intake_type in (BOARDING, DISASTER)",35412,37,35375,28729,27,28705
stage,7,cut,kennel_no,,,,"drop where kennel_no in (FOUND, HOME, HOME EXP, LOST)",35375,632,34743,28705,620,28239
stage,8,map,outcome_type,,,,ADOPTION -> TRANSFER where outcome_subtype in (RESCUE),34743,2776,34743,28239,2771,28239
stage,9,map,outcome_type,,,,"ADOPTION -> LCOM, CELL DOGS -> TRAN, DIED -> NONL, DISPOSAL -> NONL, DOA -> NONL, ESCAPED -> NONL, EUTH -> NONL, FOSTER -> TRAN, MISSING -> NONL, RESCU WAIT -> TRAN, RET 2 WILD -> TRAN, RTO -> LCOM, RTO 2 OS -> LCOM, RTO-DEAD -> NONL, RTO-S -> LCOM, RTO-TMH -> LCOM, SURG SCHED -> INC, SURG WAIT -> INC, TRANSFER -> TRAN, _UNKNOWN_ -> INC",34743,34743,34743,28239,28239,28239
stage,10,map,outcome_type,,,,"LCOM -> _NODATE_, NONL -> _NODATE_, TRAN -> _NODATE_ where night_sign in (_UNKNOWN_)",34743,0,34743,28239,0,28239
stage,11,map,intake_type,,,,"CONFISCATE -> OTH, FOSTER -> RET, OWNER SUR -> OWNER, RETURN -> RET, STRAY -> STRAY, STRAY OWN -> STRAY, TRANSFER -> OTH, WILD -> STRAY",34743,34743,34743,28239,28239,28239
stage,12,map,age_group,,,,_NEGATIVE_ -> _UNKNOWN_,34743,140,34743,28239,138,28239
stage,13,map,age_group,,,,_UNKNOWN_ -> JUVENILE where animal_size in (PUPPY),34743,133,34743,28239,133,28239
stage,14,map,animal_size,,,,"905-V -> _UNKNOWN_, KITTN -> _UNKNOWN_, OPS -> _UNKNOWN_, TOY -> SMALL, UNKWN -> _UNKNOWN_, X-LRG -> LARGE",34743,1345,34743,28239,1095,28239
stage,15,map,animal_size,,,,"PUPPY -> _UNKNOWN_ where age_group in (ADULT, SENIOR, YOUNG)",34743,94,34743,28239,81,28239
