animal_id,intake_date,outcome_date,outcome_type,intake_type,animal_size,age_group
A1432506,2018-01-22,2018-07-26,NONL,OTH,_UNKNOWN_,ADULT
A1560635,2018-01-28,2020-01-28,LCOM,OTH,LARGE,ADULT
A0849898,2018-02-03,2018-09-08,LCOM,OWNER,LARGE,SENIOR
A1559207,2018-02-05,2018-06-03,LCOM,OWNER,LARGE,YOUNG
A1562678,2018-02-11,2019-07-06,LCOM,OWNER,LARGE,YOUNG
A0919574,2018-02-14,2018-06-09,TRAN,OTH,LARGE,SENIOR
A1563472,2018-02-17,2018-07-20,LCOM,OTH,LARGE,JUVENILE
A1562494,2018-02-21,2018-06-28,TRAN,RET,LARGE,ADULT
A1564009,2018-02-22,2019-01-16,LCOM,STRAY,LARGE,YOUNG
A1564142,2018-02-23,2018-11-07,TRAN,OTH,LARGE,ADULT
A1564184,2018-02-23,2018-10-05,LCOM,STRAY,LARGE,YOUNG
A1564890,2018-03-01,2019-03-01,TRAN,STRAY,LARGE,YOUNG
A1565156,2018-03-03,2019-10-04,LCOM,STRAY,LARGE,ADULT
A1564535,2018-03-10,2018-06-02,LCOM,RET,LARGE,YOUNG
A1566233,2018-03-11,2018-07-28,TRAN,STRAY,LARGE,YOUNG
A1566279,2018-03-12,2018-11-09,TRAN,STRAY,LARGE,ADULT
A1562534,2018-03-14,2018-07-25,LCOM,RET,SMALL,ADULT
A1567158,2018-03-20,2018-09-28,LCOM,STRAY,LARGE,SENIOR
A1568356,2018-03-27,2018-07-31,TRAN,STRAY,LARGE,YOUNG
A1568806,2018-03-30,2018-07-03,LCOM,STRAY,LARGE,YOUNG
A1566721,2018-04-01,2018-07-07,LCOM,RET,LARGE,YOUNG
A1569107,2018-04-02,2018-07-01,LCOM,STRAY,LARGE,ADULT
A1163296,2018-04-04,2018-06-13,LCOM,OWNER,LARGE,ADULT
A1568134,2018-04-09,2018-07-01,TRAN,RET,LARGE,ADULT
A1570498,2018-04-10,2019-04-06,LCOM,STRAY,LARGE,ADULT
A1570699,2018-04-11,2018-08-15,LCOM,STRAY,LARGE,YOUNG
A1490547,2018-04-13,2018-07-08,TRAN,STRAY,MED,YOUNG
A1571199,2018-04-16,2018-11-09,TRAN,STRAY,LARGE,YOUNG
A1526921,2018-04-17,2018-11-16,LCOM,OWNER,LARGE,YOUNG
A1571599,2018-04-18,2018-06-03,LCOM,STRAY,LARGE,YOUNG
A1561244,2018-04-22,2018-06-28,LCOM,OTH,MED,YOUNG
A1572257,2018-04-22,2018-06-16,LCOM,OTH,LARGE,YOUNG
A1572476,2018-04-23,2018-09-19,LCOM,STRAY,LARGE,YOUNG
A1572479,2018-04-23,2018-06-12,TRAN,STRAY,SMALL,YOUNG
A1558739,2018-04-23,2018-06-02,LCOM,OTH,SMALL,JUVENILE
A1573115,2018-04-26,2018-11-29,LCOM,STRAY,LARGE,YOUNG
A1573296,2018-04-28,2019-11-16,LCOM,STRAY,LARGE,ADULT
A1573314,2018-04-28,2019-04-07,TRAN,STRAY,LARGE,ADULT
A1573430,2018-04-28,2018-10-21,TRAN,STRAY,SMALL,ADULT
A1573444,2018-04-28,2018-10-02,LCOM,STRAY,LARGE,YOUNG
A1573490,2018-04-29,2018-07-23,LCOM,STRAY,LARGE,ADULT
A1571799,2018-05-02,2018-08-08,LCOM,RET,SMALL,ADULT
A1574169,2018-05-03,2018-06-16,LCOM,OWNER,LARGE,ADULT
A1574193,2018-05-03,2018-06-26,LCOM,STRAY,LARGE,YOUNG
A1574213,2018-05-03,2018-06-16,LCOM,STRAY,LARGE,JUVENILE
A1568390,2018-05-05,2018-06-02,LCOM,RET,MED,YOUNG
A1574601,2018-05-07,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1574600,2018-05-07,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1574599,2018-05-07,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1574598,2018-05-07,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1574597,2018-05-07,2018-06-06,TRAN,STRAY,SMALL,JUVENILE
A1574596,2018-05-07,2018-06-06,TRAN,STRAY,SMALL,JUVENILE
A1574595,2018-05-07,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1574594,2018-05-07,2018-07-26,TRAN,STRAY,LARGE,YOUNG
A1573993,2018-05-07,2018-07-11,LCOM,OWNER,LARGE,ADULT
A1574703,2018-05-07,2018-06-05,NONL,OTH,LARGE,SENIOR
A1539255,2018-05-10,2018-06-02,LCOM,STRAY,LARGE,YOUNG
A1575106,2018-05-10,2018-06-13,LCOM,OWNER,MED,ADULT
A1571802,2018-05-11,2018-06-21,LCOM,OTH,LARGE,JUVENILE
A1574300,2018-05-11,2018-06-02,LCOM,RET,LARGE,YOUNG
A1575356,2018-05-12,2018-06-09,LCOM,STRAY,LARGE,YOUNG
A1575369,2018-05-12,2018-06-09,LCOM,OTH,MED,YOUNG
A1575402,2018-05-12,2018-06-02,LCOM,STRAY,MED,ADULT
A1575486,2018-05-13,2018-10-16,LCOM,STRAY,LARGE,YOUNG
A1575618,2018-05-14,2018-06-09,LCOM,STRAY,MED,YOUNG
A1575653,2018-05-14,2019-02-23,LCOM,OWNER,LARGE,ADULT
A1575656,2018-05-14,2018-08-04,LCOM,OWNER,LARGE,ADULT
A1575727,2018-05-15,2018-06-24,LCOM,OTH,SMALL,YOUNG
A1340975,2018-05-15,2018-07-31,LCOM,OWNER,LARGE,ADULT
A1575824,2018-05-15,2020-02-26,LCOM,OTH,LARGE,YOUNG
A1575944,2018-05-16,2018-06-08,LCOM,OTH,LARGE,YOUNG
A1576090,2018-05-17,2018-06-06,LCOM,STRAY,SMALL,ADULT
A1138761,2018-05-17,2018-06-25,LCOM,OWNER,LARGE,ADULT
A1576131,2018-05-17,2018-06-02,LCOM,STRAY,SMALL,YOUNG
A1572318,2018-05-19,2018-06-02,LCOM,RET,MED,ADULT
A1576465,2018-05-19,2018-06-26,TRAN,STRAY,SMALL,SENIOR
A1485211,2018-05-20,2018-06-17,LCOM,OWNER,SMALL,ADULT
A1571394,2018-05-20,2018-06-03,LCOM,RET,LARGE,YOUNG
A1576784,2018-05-21,2018-08-04,LCOM,STRAY,LARGE,YOUNG
A1567327,2018-05-21,2018-07-26,TRAN,RET,LARGE,YOUNG
A1545265,2018-05-21,2018-06-23,LCOM,RET,LARGE,ADULT
A1576725,2018-05-21,2019-05-08,LCOM,OTH,LARGE,ADULT
A1511572,2018-05-22,2018-06-01,LCOM,OTH,LARGE,YOUNG
A1576858,2018-05-22,2018-06-01,LCOM,STRAY,SMALL,YOUNG
A1576872,2018-05-22,2018-06-06,LCOM,STRAY,LARGE,YOUNG
A1576893,2018-05-22,2018-06-03,LCOM,STRAY,SMALL,YOUNG
A1576896,2018-05-22,2018-06-26,LCOM,STRAY,LARGE,YOUNG
A1577002,2018-05-23,2018-06-04,LCOM,STRAY,LARGE,ADULT
A1577052,2018-05-23,2018-06-01,LCOM,STRAY,SMALL,YOUNG
A1577087,2018-05-23,2018-06-09,LCOM,STRAY,LARGE,YOUNG
A1577202,2018-05-24,2018-06-02,LCOM,STRAY,LARGE,YOUNG
A1577209,2018-05-24,2018-12-30,LCOM,STRAY,LARGE,ADULT
A1577214,2018-05-24,2018-06-01,LCOM,STRAY,LARGE,JUVENILE
A1577217,2018-05-24,2018-06-11,TRAN,STRAY,SMALL,JUVENILE
A1577261,2018-05-24,2018-06-02,LCOM,STRAY,LARGE,YOUNG
A1577291,2018-05-25,2018-06-02,LCOM,STRAY,MED,JUVENILE
A1577340,2018-05-25,2018-06-02,LCOM,STRAY,PUPPY,JUVENILE
A1577341,2018-05-25,2018-06-01,LCOM,STRAY,SMALL,YOUNG
A1577372,2018-05-25,2018-06-06,TRAN,STRAY,SMALL,YOUNG
A1577374,2018-05-25,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1577375,2018-05-25,2018-06-06,TRAN,STRAY,PUPPY,JUVENILE
A1205220,2018-05-25,2018-06-03,LCOM,OTH,SMALL,ADULT
A1577448,2018-05-26,2018-06-01,LCOM,STRAY,SMALL,JUVENILE
A1577449,2018-05-26,2018-06-02,LCOM,STRAY,MED,YOUNG
A1577452,2018-05-26,2018-06-05,LCOM,STRAY,SMALL,SENIOR
A1577482,2018-05-26,2018-06-01,LCOM,STRAY,LARGE,YOUNG
A1533377,2018-05-26,2018-06-04,LCOM,OTH,SMALL,ADULT
A1577502,2018-05-26,2018-06-02,LCOM,STRAY,MED,YOUNG
A1577507,2018-05-26,2018-06-06,LCOM,STRAY,MED,YOUNG
A1577511,2018-05-26,2018-06-04,LCOM,STRAY,LARGE,ADULT
A1577519,2018-05-26,2018-06-01,LCOM,OTH,_UNKNOWN_,YOUNG
A1577617,2018-05-27,2018-06-03,LCOM,STRAY,SMALL,YOUNG
A1577618,2018-05-27,2018-06-03,LCOM,STRAY,MED,YOUNG
A1577619,2018-05-27,2018-06-02,LCOM,STRAY,PUPPY,JUVENILE
A1577620,2018-05-27,2018-06-02,LCOM,STRAY,PUPPY,JUVENILE
A1577639,2018-05-27,2018-06-01,LCOM,STRAY,MED,JUVENILE
A1056196,2018-05-27,2018-06-18,LCOM,STRAY,MED,SENIOR
A1577648,2018-05-27,2018-06-23,LCOM,STRAY,LARGE,ADULT
A1577661,2018-05-27,2018-06-02,LCOM,STRAY,LARGE,YOUNG
A1577685,2018-05-28,2018-06-15,LCOM,STRAY,MED,SENIOR
A1569656,2018-05-28,2018-06-05,LCOM,RET,LARGE,ADULT
A1577692,2018-05-28,2018-06-11,LCOM,OTH,LARGE,YOUNG
A1577694,2018-05-28,2018-06-08,LCOM,OTH,LARGE,YOUNG
A1577698,2018-05-28,2018-06-02,LCOM,STRAY,MED,YOUNG
A1577720,2018-05-28,2018-06-02,LCOM,STRAY,LARGE,ADULT
A1577737,2018-05-29,2018-06-06,LCOM,STRAY,MED,YOUNG
A1577745,2018-05-29,2018-06-02,LCOM,STRAY,LARGE,YOUNG
A1572310,2018-05-29,2018-11-28,TRAN,RET,LARGE,YOUNG
A1577788,2018-05-29,2018-06-06,LCOM,STRAY,PUPPY,JUVENILE
A1577814,2018-05-29,2018-06-06,LCOM,STRAY,SMALL,YOUNG
A1577815,2018-05-29,2018-06-02,TRAN,OWNER,SMALL,YOUNG
A1577828,2018-05-29,2018-06-10,LCOM,STRAY,LARGE,SENIOR
A1577837,2018-05-29,2018-06-25,LCOM,STRAY,LARGE,ADULT
A1543723,2018-05-29,2018-06-06,LCOM,OTH,_UNKNOWN_,YOUNG
A1577852,2018-05-29,2018-07-08,LCOM,STRAY,LARGE,ADULT
A1577856,2018-05-29,2018-06-10,LCOM,STRAY,LARGE,JUVENILE
A1577873,2018-05-29,2018-06-06,LCOM,STRAY,SMALL,JUVENILE
A1236714,2018-05-26,2018-07-30,TRAN,OTH,SMALL,SENIOR
A1577915,2018-05-30,2018-06-03,LCOM,STRAY,PUPPY,JUVENILE
A1364502,2018-05-30,2018-06-09,LCOM,OWNER,MED,SENIOR
A1577975,2018-05-30,2018-06-01,LCOM,STRAY,LARGE,YOUNG
A1577980,2018-05-30,2018-06-01,LCOM,STRAY,LARGE,JUVENILE
A1577982,2018-05-30,2018-06-11,LCOM,STRAY,LARGE,SENIOR
A1537771,2018-05-30,2018-06-03,LCOM,OWNER,LARGE,YOUNG
A1402901,2018-05-30,2018-06-09,LCOM,STRAY,SMALL,YOUNG
A1578087,2018-05-30,2018-06-03,LCOM,STRAY,LARGE,JUVENILE
A1374061,2018-05-30,2018-06-09,LCOM,OTH,_UNKNOWN_,ADULT
A1576500,2018-05-31,2018-06-03,LCOM,RET,MED,YOUNG
A1339363,2018-05-31,2018-06-07,LCOM,STRAY,SMALL,ADULT
A1578165,2018-05-31,2018-06-01,LCOM,OTH,SMALL,ADULT
A1578179,2018-05-31,2018-06-13,LCOM,OTH,LARGE,JUVENILE
A1578190,2018-05-31,2018-06-06,LCOM,STRAY,LARGE,YOUNG
A1578197,2018-05-31,2018-06-01,TRAN,STRAY,PUPPY,JUVENILE
A1578202,2018-05-31,2018-06-01,TRAN,STRAY,PUPPY,JUVENILE
A1578210,2018-05-31,2018-06-09,LCOM,STRAY,MED,ADULT
A1578225,2018-05-31,2018-06-06,LCOM,STRAY,LARGE,JUVENILE
A1578230,2018-05-31,2018-06-15,LCOM,STRAY,MED,ADULT
A1578238,2018-05-31,2018-06-15,LCOM,STRAY,MED,ADULT
A1261178,2018-05-31,2018-06-05,LCOM,OTH,SMALL,ADULT
A1427641,2018-05-31,2018-06-05,LCOM,OTH,SMALL,ADULT
A1578244,2018-05-31,2018-06-01,LCOM,STRAY,SMALL,YOUNG
A1578257,2018-06-01,2018-06-07,LCOM,STRAY,MED,YOUNG
A1481096,2018-06-01,2018-06-02,LCOM,STRAY,MED,YOUNG
A1578270,2018-06-01,2018-06-10,LCOM,STRAY,LARGE,YOUNG
A1577519,2018-06-01,2018-06-04,NONL,OWNER,_UNKNOWN_,ADULT
A1578285,2018-06-01,2018-06-26,TRAN,STRAY,LARGE,SENIOR
A1578286,2018-06-01,2018-06-02,LCOM,STRAY,MED,JUVENILE
A1578308,2018-06-01,2018-06-01,TRAN,STRAY,PUPPY,JUVENILE
A1578312,2018-06-01,2018-06-07,LCOM,STRAY,SMALL,JUVENILE
A1578328,2018-06-01,2018-06-02,LCOM,STRAY,SMALL,ADULT
A1578331,2018-06-01,2018-06-09,LCOM,STRAY,MED,YOUNG
A1578333,2018-06-01,2018-06-02,LCOM,STRAY,SMALL,ADULT
A0864219,2018-06-01,2018-06-02,LCOM,STRAY,SMALL,SENIOR
A1578359,2018-06-01,2018-06-01,NONL,STRAY,MED,ADULT
A1578362,2018-06-01,2018-06-13,LCOM,STRAY,LARGE,ADULT
A1578418,2018-06-02,2018-06-26,TRAN,OWNER,LARGE,ADULT
A1578457,2018-06-02,2019-02-09,LCOM,STRAY,LARGE,YOUNG
A1578461,2018-06-02,2018-06-21,LCOM,STRAY,MED,ADULT
A1578464,2018-06-02,2018-06-03,LCOM,STRAY,MED,YOUNG
A1167851,2018-06-02,2018-06-12,LCOM,OTH,MED,ADULT
A1575895,2018-06-02,2018-07-09,LCOM,RET,MED,YOUNG
A1578504,2018-06-02,2018-06-03,LCOM,STRAY,LARGE,YOUNG
A1522683,2018-06-02,2018-06-03,LCOM,STRAY,LARGE,YOUNG
A1578506,2018-06-02,2018-06-12,LCOM,OTH,MED,JUVENILE
A1578508,2018-06-02,2018-06-04,LCOM,STRAY,MED,ADULT
A1120361,2018-06-03,2018-06-03,LCOM,STRAY,SMALL,ADULT
A1578540,2018-06-03,2018-06-04,LCOM,STRAY,LARGE,YOUNG
A1575101,2018-06-03,2018-06-04,LCOM,RET,MED,YOUNG
A1578556,2018-06-03,2018-06-03,LCOM,OTH,MED,ADULT
A1578559,2018-06-03,2018-06-08,LCOM,STRAY,MED,JUVENILE
A1247688,2018-06-03,2018-06-05,LCOM,STRAY,MED,ADULT
A1263676,2018-06-03,2018-06-04,LCOM,OTH,MED,ADULT
A1578589,2018-06-03,2018-06-24,LCOM,OTH,MED,YOUNG
A1578601,2018-06-03,2018-06-04,LCOM,STRAY,MED,ADULT
A1578597,2018-06-03,2018-06-07,LCOM,OTH,LARGE,YOUNG
A1578598,2018-06-03,2018-06-06,LCOM,OTH,MED,ADULT
A1578599,2018-06-03,2018-06-06,LCOM,OTH,LARGE,YOUNG
A1578602,2018-06-03,2018-06-12,LCOM,OTH,SMALL,YOUNG
A1578624,2018-06-04,2018-07-18,LCOM,STRAY,LARGE,YOUNG
A1578625,2018-06-04,2018-06-29,LCOM,STRAY,LARGE,ADULT
A1578654,2018-06-04,2018-06-06,TRAN,STRAY,SMALL,JUVENILE
A1578658,2018-06-04,2018-06-10,LCOM,STRAY,SMALL,ADULT
A1578659,2018-06-04,2018-06-10,LCOM,STRAY,SMALL,JUVENILE
A1578662,2018-06-04,2018-07-12,LCOM,STRAY,LARGE,YOUNG
A1578665,2018-06-04,2018-06-04,TRAN,STRAY,PUPPY,JUVENILE
A1578667,2018-06-04,2018-06-04,LCOM,STRAY,SMALL,ADULT
A1578671,2018-06-04,2018-06-04,LCOM,STRAY,SMALL,ADULT
A1578672,2018-06-04,2018-06-13,LCOM,STRAY,LARGE,YOUNG
A1578673,2018-06-04,2018-06-16,LCOM,STRAY,SMALL,ADULT
A1578677,2018-06-04,2018-06-09,LCOM,STRAY,MED,JUVENILE
A1578732,2018-06-04,2018-07-09,TRAN,STRAY,LARGE,ADULT
A1578733,2018-06-04,2018-06-05,LCOM,STRAY,MED,SENIOR
A1578739,2018-06-04,2018-06-16,LCOM,STRAY,LARGE,YOUNG
A1578772,2018-06-05,2018-06-13,LCOM,OWNER,MED,JUVENILE
A1578797,2018-06-05,2018-06-10,LCOM,OWNER,LARGE,YOUNG
A1578800,2018-06-05,2018-06-08,LCOM,OWNER,LARGE,YOUNG
A1575101,2018-06-05,2018-06-06,LCOM,RET,MED,YOUNG
A1577291,2018-06-05,2018-06-06,LCOM,RET,MED,YOUNG
A1578834,2018-06-05,2018-06-16,LCOM,STRAY,SMALL,ADULT
A1578836,2018-06-05,2018-06-16,LCOM,STRAY,SMALL,YOUNG
A1578839,2018-06-05,2018-06-16,LCOM,STRAY,MED,YOUNG
A1578842,2018-06-05,2018-06-10,LCOM,OWNER,LARGE,JUVENILE
A1578845,2018-06-05,2018-06-07,LCOM,OWNER,PUPPY,JUVENILE
A1578850,2018-06-05,2018-06-14,LCOM,STRAY,MED,YOUNG
A1261178,2018-06-05,2018-06-06,LCOM,OWNER,SMALL,ADULT
A1578867,2018-06-05,2018-06-08,TRAN,OWNER,MED,SENIOR
A1578872,2018-06-05,2018-06-16,LCOM,OTH,MED,JUVENILE
A1578893,2018-06-05,2018-06-14,LCOM,STRAY,LARGE,JUVENILE
A1578894,2018-06-05,2018-06-07,LCOM,STRAY,LARGE,YOUNG
A1578897,2018-06-05,2018-06-13,LCOM,STRAY,MED,JUVENILE
A1578896,2018-06-05,2018-06-08,LCOM,STRAY,LARGE,YOUNG
A1307091,2018-06-05,2018-06-14,TRAN,STRAY,MED,ADULT
A1578937,2018-06-05,2018-06-13,LCOM,STRAY,MED,YOUNG
A1578951,2018-06-06,2018-07-01,LCOM,STRAY,MED,ADULT
A1578969,2018-06-06,2018-06-13,LCOM,STRAY,PUPPY,JUVENILE
A1578976,2018-06-06,2018-06-13,LCOM,STRAY,LARGE,JUVENILE
A1578983,2018-06-06,2018-06-06,NONL,STRAY,MED,YOUNG
A1579009,2018-06-06,2018-06-30,LCOM,STRAY,LARGE,YOUNG
A1579011,2018-06-06,2018-06-11,NONL,STRAY,MED,SENIOR
A1579025,2018-06-06,2018-06-30,LCOM,STRAY,LARGE,YOUNG
A1579030,2018-06-06,2018-06-06,LCOM,STRAY,MED,YOUNG
A1579032,2018-06-06,2018-06-13,LCOM,STRAY,LARGE,JUVENILE
A1579037,2018-06-06,2018-06-17,LCOM,STRAY,MED,JUVENILE
A1579039,2018-06-06,2018-06-06,LCOM,STRAY,MED,YOUNG
A1536123,2018-06-06,2018-06-08,LCOM,STRAY,SMALL,ADULT
A1579047,2018-06-06,2018-06-13,LCOM,STRAY,MED,YOUNG
A1579059,2018-06-06,2018-06-15,LCOM,STRAY,LARGE,JUVENILE
A1418210,2018-06-06,2018-07-02,LCOM,STRAY,_UNKNOWN_,ADULT
A1579095,2018-06-06,2018-06-08,LCOM,OTH,MED,ADULT
A1579099,2018-06-06,2018-06-06,TRAN,STRAY,LARGE,ADULT
A1579100,2018-06-07,2018-06-07,LCOM,STRAY,LARGE,YOUNG
A1579115,2018-06-07,2018-06-15,LCOM,STRAY,LARGE,YOUNG
A1579123,2018-06-07,2018-06-11,LCOM,STRAY,MED,JUVENILE
A1577449,2018-06-07,2018-06-07,LCOM,RET,MED,YOUNG
A1579131,2018-06-07,2018-06-08,LCOM,STRAY,SMALL,SENIOR
A1575239,2018-06-07,2018-06-14,LCOM,RET,MED,JUVENILE
A1579142,2018-06-07,2018-06-13,LCOM,STRAY,SMALL,SENIOR
A1579147,2018-06-07,2018-06-12,NONL,STRAY,MED,YOUNG
A1579148,2018-06-07,2018-06-14,LCOM,STRAY,SMALL,YOUNG
A1339363,2018-06-07,2018-06-09,LCOM,OWNER,SMALL,ADULT
A1579187,2018-06-07,2018-06-10,LCOM,STRAY,MED,ADULT
A1578195,2018-06-07,2018-06-07,TRAN,RET,PUPPY,JUVENILE
A1578198,2018-06-07,2018-06-07,TRAN,RET,SMALL,JUVENILE
A1578201,2018-06-07,2018-06-07,TRAN,RET,PUPPY,JUVENILE
A1579233,2018-06-07,2018-06-12,NONL,OTH,LARGE,YOUNG
A1481543,2018-06-07,2018-06-09,LCOM,STRAY,LARGE,YOUNG
A1579245,2018-06-07,2018-06-12,LCOM,STRAY,MED,YOUNG
A1378327,2018-06-07,2018-06-09,LCOM,STRAY,MED,SENIOR
A1579253,2018-06-07,2018-06-15,LCOM,STRAY,SMALL,ADULT
A1579300,2018-06-08,2018-06-08,LCOM,STRAY,LARGE,YOUNG
A1579303,2018-06-08,2018-06-08,LCOM,STRAY,MED,ADULT
A1577204,2018-06-07,2018-06-08,LCOM,RET,LARGE,YOUNG
A1579308,2018-06-08,2018-06-20,LCOM,STRAY,MED,YOUNG
A1577694,2018-06-08,2018-11-09,TRAN,OWNER,LARGE,YOUNG
A1579313,2018-06-08,2018-06-16,LCOM,STRAY,LARGE,JUVENILE
A1579317,2018-06-08,2018-06-15,LCOM,STRAY,MED,ADULT
A1579326,2018-06-08,2018-06-26,LCOM,STRAY,SMALL,YOUNG
A1577507,2018-06-08,2018-06-13,LCOM,RET,MED,YOUNG
A1579336,2018-06-08,2018-10-04,LCOM,OTH,SMALL,ADULT
A1579352,2018-06-08,2018-07-08,LCOM,STRAY,LARGE,YOUNG
A1579398,2018-06-08,2018-06-13,LCOM,STRAY,MED,ADULT
A1579399,2018-06-08,2018-06-15,LCOM,STRAY,SMALL,ADULT
A1579445,2018-06-09,2018-06-17,LCOM,STRAY,LARGE,YOUNG
A1576500,2018-06-09,2018-06-15,LCOM,RET,MED,YOUNG
A1579451,2018-06-09,2018-06-10,LCOM,STRAY,SMALL,SENIOR
A1568394,2018-06-09,2018-06-10,LCOM,STRAY,MED,YOUNG
A1579464,2018-06-09,2018-06-13,LCOM,OTH,MED,YOUNG
A1579466,2018-06-09,2018-06-13,LCOM,STRAY,SMALL,YOUNG
A1579468,2018-06-09,2018-07-01,LCOM,STRAY,LARGE,YOUNG
A1579478,2018-06-09,2018-06-15,LCOM,STRAY,MED,YOUNG
A1579499,2018-06-09,2018-06-14,LCOM,STRAY,SMALL,YOUNG
A1579534,2018-06-10,2018-06-17,LCOM,STRAY,LARGE,ADULT
A1579535,2018-06-10,2018-06-18,LCOM,STRAY,LARGE,YOUNG
A1579536,2018-06-10,2018-06-10,LCOM,STRAY,PUPPY,JUVENILE
A1579539,2018-06-10,2018-06-11,LCOM,STRAY,LARGE,ADULT
A1579563,2018-06-10,2018-06-10,TRAN,STRAY,PUPPY,JUVENILE
A1540941,2018-06-10,2018-06-11,LCOM,STRAY,SMALL,ADULT
A1335774,2018-06-10,2018-06-10,NONL,STRAY,MED,SENIOR
A1579615,2018-06-10,2018-07-03,LCOM,STRAY,LARGE,ADULT
A1058855,2018-06-10,2018-06-11,LCOM,STRAY,SMALL,SENIOR
A1579623,2018-06-10,2018-06-12,LCOM,STRAY,SMALL,ADULT
A1579627,2018-06-10,2018-06-11,LCOM,OTH,LARGE,YOUNG
A1363773,2018-06-10,2018-06-11,LCOM,STRAY,SMALL,ADULT
A1579630,2018-06-10,2018-06-11,LCOM,STRAY,MED,YOUNG
A1579658,2018-06-11,2018-06-16,LCOM,STRAY,SMALL,YOUNG
A1579662,2018-06-11,2018-06-16,LCOM,STRAY,LARGE,ADULT
A1192215,2018-06-11,2018-06-13,LCOM,STRAY,MED,ADULT
A1575529,2018-06-11,2018-06-11,LCOM,RET,LARGE,ADULT
A1579691,2018-06-11,2018-06-18,TRAN,STRAY,SMALL,YOUNG
A1579694,2018-06-11,2018-11-18,LCOM,STRAY,LARGE,YOUNG
A1579695,2018-06-11,2018-06-16,LCOM,STRAY,SMALL,JUVENILE
A1579696,2018-06-11,2018-06-30,LCOM,STRAY,LARGE,YOUNG
A1579697,2018-06-11,2018-06-16,LCOM,STRAY,LARGE,JUVENILE
A1327196,2018-06-11,2018-06-12,LCOM,STRAY,LARGE,SENIOR
A1579702,2018-06-11,2018-06-15,LCOM,STRAY,SMALL,ADULT
A1579709,2018-06-11,2018-12-22,TRAN,STRAY,SMALL,YOUNG
A0904162,2018-06-11,2018-06-12,LCOM,OTH,LARGE,SENIOR
A1579754,2018-06-11,2018-06-12,LCOM,STRAY,MED,ADULT
A1579858,2018-06-12,2018-06-21,LCOM,STRAY,SMALL,YOUNG
A1579860,2018-06-12,2018-06-12,LCOM,STRAY,LARGE,JUVENILE
A1579940,2018-06-12,2018-06-20,LCOM,STRAY,MED,YOUNG
A1579942,2018-06-12,2018-06-20,LCOM,STRAY,LARGE,JUVENILE
A1579945,2018-06-12,2018-06-20,LCOM,STRAY,SMALL,JUVENILE
A1579946,2018-06-12,2018-06-20,LCOM,STRAY,MED,JUVENILE
A1579955,2018-06-12,2018-06-16,LCOM,STRAY,MED,JUVENILE
A1579956,2018-06-12,2018-06-20,LCOM,STRAY,MED,YOUNG
A1579970,2018-06-12,2018-06-16,LCOM,STRAY,LARGE,ADULT
A1580007,2018-06-13,2018-06-22,LCOM,STRAY,LARGE,ADULT
A1580008,2018-06-13,2018-06-23,LCOM,STRAY,LARGE,YOUNG
A1578308,2018-06-12,2018-06-13,LCOM,RET,PUPPY,JUVENILE
A1580035,2018-06-13,2018-07-02,LCOM,STRAY,LARGE,YOUNG
A1580055,2018-06-13,2018-06-18,LCOM,OTH,LARGE,YOUNG
A1580056,2018-06-13,2018-06-14,LCOM,STRAY,MED,SENIOR
A1580057,2018-06-13,2018-06-23,LCOM,STRAY,LARGE,ADULT
A1578179,2018-06-13,2018-07-06,LCOM,OWNER,LARGE,YOUNG
A1580087,2018-06-13,2018-06-21,LCOM,STRAY,SMALL,YOUNG
A1580104,2018-06-13,2018-06-14,LCOM,STRAY,MED,SENIOR
A1580121,2018-06-13,2018-06-14,LCOM,STRAY,LARGE,ADULT
A1569513,2018-06-13,2018-06-14,LCOM,RET,SMALL,YOUNG
A1569514,2018-06-13,2018-06-14,LCOM,RET,MED,JUVENILE
A1569516,2018-06-13,2018-06-14,LCOM,RET,PUPPY,JUVENILE
A1569517,2018-06-13,2018-06-14,LCOM,RET,PUPPY,JUVENILE
A1569518,2018-06-13,2018-06-16,LCOM,RET,PUPPY,JUVENILE
A1580181,2018-06-13,2018-06-14,LCOM,STRAY,MED,YOUNG
A1578672,2018-06-13,2018-06-27,LCOM,RET,LARGE,YOUNG
A1580227,2018-06-14,2018-06-20,LCOM,STRAY,PUPPY,JUVENILE
A1580243,2018-06-14,2018-06-15,LCOM,STRAY,SMALL,ADULT
A1580255,2018-06-14,2018-06-14,TRAN,STRAY,PUPPY,JUVENILE
A1547350,2018-06-14,2018-06-15,LCOM,STRAY,MED,YOUNG
A1530363,2018-06-14,2018-06-15,LCOM,STRAY,MED,YOUNG
A1580275,2018-06-14,2019-04-07,LCOM,STRAY,LARGE,ADULT
A1580281,2018-06-14,2018-06-16,LCOM,STRAY,MED,ADULT
A1578197,2018-06-14,2018-06-14,TRAN,RET,PUPPY,JUVENILE
A1578202,2018-06-14,2018-06-14,TRAN,RET,PUPPY,JUVENILE
A1580282,2018-06-14,2018-06-15,LCOM,STRAY,MED,YOUNG
A1580284,2018-06-14,2018-06-20,LCOM,STRAY,SMALL,YOUNG
