section,step,action,column,role,value,scope,detail,rows_in,rows_affected,rows_out,animal_id_in,animal_id_affected,animal_id_out
detail,8,map,outcome_type,map from,RTO,rows mapped,,,11456,,,10232,
detail,8,map,outcome_type,map from,RTO 2 OS,rows mapped,,,1,,,1,
detail,8,map,outcome_type,map from,RTO-DEAD,rows mapped,,,1,,,1,
detail,8,map,outcome_type,map from,RTO-S,rows mapped,,,0,,,0,
detail,8,map,outcome_type,map from,RTO-TMH,rows mapped,,,92,,,92,
detail,8,map,outcome_type,map from,TRANSFER,rows mapped,,,4493,,,4487,
detail,8,map,outcome_type,map from,_UNKNOWN_,rows mapped,,,213,,,213,
detail,9,map,outcome_type,map from,LiveC,rows mapped,,,0,,,0,
detail,9,map,outcome_type,map from,NonL,rows mapped,,,1,,,1,
detail,9,map,outcome_type,map from,Transf,rows mapped,,,0,,,0,
detail,9,map,night_sign,where,_UNKNOWN_,rows mapped,,,1,,,1,
detail,10,map,intake_type,map from,BOARDING,rows mapped,,,17,,,17,
detail,10,map,intake_type,map from,CONFISCATE,rows mapped,,,4358,,,3780,
detail,10,map,intake_type,map from,DISASTER,rows mapped,,,33,,,23,
detail,10,map,intake_type,map from,FOSTER,rows mapped,,,2019,,,1550,
detail,10,map,intake_type,map from,OWNER SUR,rows mapped,,,1741,,,1719,
detail,10,map,intake_type,map from,RETURN,rows mapped,,,2182,,,1831,
detail,10,map,intake_type,map from,STRAY,rows mapped,,,21605,,,21321,
detail,10,map,intake_type,map from,STRAY OWN,rows mapped,,,4630,,,4327,
detail,10,map,intake_type,map from,TRANSFER,rows mapped,,,20,,,20,
detail,11,map,animal_size,map from,905-V,rows mapped,,,278,,,199,
detail,11,map,animal_size,map from,KITTN,rows mapped,,,2,,,2,
detail,11,map,animal_size,map from,LARGE,rows mapped,,,12756,,,9498,
detail,11,map,animal_size,map from,OPS,rows mapped,,,0,,,0,
detail,11,map,animal_size,map from,UNKWN,rows mapped,,,7,,,7,
detail,11,map,animal_size,map from,X-LRG,rows mapped,,,466,,,371,
detail,12,cut,night_sign,cut,-1,rows cut,,,0,,,0,
detail,13,cut,age_group,cut,_OVER_,rows cut,,,19,,,17,
detail,14,dedup,night_sign,where,1,rows dropped,,,19,,,19,
