animal_id,intake_date,outcome_date,outcome_type,intake_type,animal_size
A1557017,2018-01-01,2018-01-06,LiveC,STRAY,LRG
A1557026,2018-01-01,2018-01-03,LiveC,STRAY,LRG
A1557027,2018-01-01,2018-01-02,LiveC,STRAY,LRG
A0834173,2018-01-01,2018-01-02,LiveC,STRAY,LRG
A1557029,2018-01-01,2018-01-02,LiveC,STRAY,LRG
A1557032,2018-01-01,2018-01-01,LiveC,STRAY,LRG
A1557033,2018-01-01,2018-01-11,LiveC,STRAY,SMALL
A1557036,2018-01-01,2018-01-06,LiveC,STRAY,MED
A1557039,2018-01-01,2018-01-05,Transf,STRAY,SMALL
A1557084,2018-01-02,2018-01-06,Transf,STRAY,LRG
A1557094,2018-01-02,2018-01-03,LiveC,STRAY,LRG
A1539296,2018-01-02,2018-01-03,LiveC,STRAY,TOY
A0776599,2018-01-02,2018-01-06,LiveC,STRAY,LRG
A1557098,2018-01-02,2018-01-03,LiveC,OTHER,LRG
A1557103,2018-01-02,2018-01-08,LiveC,STRAY,SMALL
A1557106,2018-01-02,2018-01-10,LiveC,STRAY,SMALL
A1557108,2018-01-02,2018-01-03,LiveC,STRAY,SMALL
A1557107,2018-01-02,2018-01-10,LiveC,STRAY,LRG
A1557109,2018-01-02,2018-01-03,LiveC,STRAY,SMALL
A1557110,2018-01-02,2018-01-06,LiveC,STRAY,SMALL
A1557115,2018-01-02,2018-01-03,LiveC,STRAY,SMALL
A1554836,2018-01-02,2018-01-24,LiveC,OTHER,LRG
A1557120,2018-01-02,2018-01-04,LiveC,STRAY,LRG
A1557121,2018-01-02,2018-01-03,LiveC,STRAY,SMALL
A1557133,2018-01-02,2018-01-03,LiveC,STRAY,LRG
A1557132,2018-01-02,2018-01-09,LiveC,OTHER,LRG
A1557136,2018-01-02,2018-01-07,LiveC,STRAY,MED
A1540083,2018-01-02,2018-01-07,LiveC,STRAY,SMALL
A1557140,2018-01-02,2018-01-10,LiveC,STRAY,LRG
A1557141,2018-01-02,2018-01-02,LiveC,STRAY,MED
A0810014,2018-01-02,2018-01-03,LiveC,STRAY,SMALL
A1557143,2018-01-02,2018-01-03,LiveC,STRAY,LRG
A1557145,2018-01-02,2018-02-01,LiveC,STRAY,LRG
A1557150,2018-01-02,2018-01-10,LiveC,STRAY,LRG
A1557164,2018-01-02,2018-01-05,LiveC,STRAY,SMALL
A1557171,2018-01-02,2018-01-02,NonL,STRAY,PUPPY
A1555900,2018-01-02,2018-01-03,LiveC,OTHER,LRG
A1481258,2018-01-02,2018-01-05,LiveC,OTHER,SMALL
A1557183,2018-01-02,2018-01-03,LiveC,STRAY,MED
A1089666,2018-01-02,2018-01-03,LiveC,STRAY,MED
A1557192,2018-01-02,2018-01-10,LiveC,STRAY,LRG
A1556329,2018-01-03,2018-01-03,LiveC,OTHER,SMALL
A1557258,2018-01-03,2018-01-25,Transf,STRAY,MED
A1557261,2018-01-03,2018-01-09,LiveC,STRAY,PUPPY
A1557262,2018-01-03,2018-01-09,LiveC,STRAY,PUPPY
A1041465,2018-01-03,2018-01-20,LiveC,STRAY,MED
A1557272,2018-01-03,2018-01-14,LiveC,STRAY,LRG
A0878271,2018-01-03,2018-01-06,LiveC,OWNER,TOY
A1557286,2018-01-03,2018-01-07,LiveC,OWNER,SMALL
A1357916,2018-01-03,2018-01-06,LiveC,OWNER,TOY
A1557289,2018-01-03,2018-01-13,LiveC,OWNER,SMALL
A1557315,2018-01-03,2018-01-20,LiveC,STRAY,SMALL
A1557316,2018-01-03,2018-02-18,Transf,STRAY,SMALL
A1555450,2018-01-03,2018-01-05,LiveC,OTHER,SMALL
A1557347,2018-01-03,2018-01-04,LiveC,STRAY,MED
A1510404,2018-01-03,2018-01-12,LiveC,OTHER,SMALL
A1557348,2018-01-03,2018-01-06,LiveC,STRAY,MED
A1557350,2018-01-03,2018-01-08,LiveC,OTHER,MED
A1557388,2018-01-04,2018-01-09,Transf,STRAY,SMALL
A1557396,2018-01-04,2018-01-06,LiveC,OWNER,PUPPY
A1557405,2018-01-04,2018-01-06,LiveC,STRAY,SMALL
A1557424,2018-01-04,2018-01-10,Transf,STRAY,MED
A1557428,2018-01-04,2018-01-10,LiveC,STRAY,SMALL
A1557429,2018-01-04,2018-01-10,LiveC,STRAY,SMALL
A1557430,2018-01-04,2018-01-08,Transf,STRAY,SMALL
A1557431,2018-01-04,2018-01-12,LiveC,OWNER,MED
A1557432,2018-01-04,2018-01-10,LiveC,OWNER,MED
A1557433,2018-01-04,2018-01-12,LiveC,OWNER,MED
A1557434,2018-01-04,2018-01-10,LiveC,OWNER,MED
A1557438,2018-01-04,2018-01-10,LiveC,STRAY,LRG
A1557443,2018-01-04,2018-01-05,LiveC,STRAY,MED
A1556348,2018-01-04,2018-01-05,LiveC,OTHER,MED
A1554889,2018-01-04,2018-01-08,LiveC,OTHER,LRG
A1546863,2018-01-04,2018-01-05,LiveC,STRAY,MED
A1557528,2018-01-05,2018-01-11,LiveC,STRAY,SMALL
A1557545,2018-01-05,2018-01-12,LiveC,STRAY,SMALL
A1557543,2018-01-05,2018-01-12,Transf,STRAY,LRG
A1557555,2018-01-05,2018-01-10,Transf,STRAY,SMALL
A1557556,2018-01-05,2018-01-05,Transf,OWNER,PUPPY
A1557557,2018-01-05,2018-01-13,LiveC,STRAY,SMALL
A1557558,2018-01-05,2018-01-10,LiveC,STRAY,SMALL
A1557559,2018-01-05,2018-01-10,LiveC,STRAY,SMALL
A1235908,2018-01-05,2018-01-05,LiveC,STRAY,TOY
A1556057,2018-01-05,2018-01-07,LiveC,OTHER,PUPPY
A1557573,2018-01-05,2018-01-13,LiveC,STRAY,PUPPY
A1557574,2018-01-05,2018-01-12,LiveC,STRAY,PUPPY
A1557575,2018-01-05,2018-01-11,LiveC,STRAY,PUPPY
A1557576,2018-01-05,2018-01-11,LiveC,STRAY,PUPPY
A1557577,2018-01-05,2018-01-13,LiveC,STRAY,PUPPY
A1546863,2018-01-05,2018-01-07,LiveC,OWNER,MED
A1557579,2018-01-05,2018-01-05,LiveC,STRAY,MED
A1557582,2018-01-05,2018-01-06,LiveC,STRAY,MED
A1557585,2018-01-05,2018-01-17,LiveC,STRAY,MED
A0898146,2018-01-05,2018-01-06,LiveC,STRAY,MED
A1557601,2018-01-05,2018-01-13,LiveC,STRAY,SMALL
A1557607,2018-01-05,2018-02-03,Transf,STRAY,MED
A1557609,2018-01-05,2018-01-10,LiveC,STRAY,SMALL
A1557641,2018-01-06,2018-01-06,LiveC,STRAY,LRG
A1557648,2018-01-06,2018-01-10,Transf,STRAY,SMALL
A1557649,2018-01-06,2018-02-05,Transf,STRAY,SMALL
A1502127,2018-01-06,2018-01-08,LiveC,OTHER,LRG
A1556390,2018-01-06,2018-02-16,LiveC,OTHER,LRG
A1511440,2018-01-06,2018-01-06,LiveC,OWNER,SMALL
A1556616,2018-01-06,2018-01-09,LiveC,OTHER,MED
A1557660,2018-01-06,2018-01-24,Transf,STRAY,LRG
A1557661,2018-01-06,2018-01-11,Transf,OWNER,MED
A1557663,2018-01-06,2018-01-11,LiveC,STRAY,LRG
A1108257,2018-01-06,2018-01-20,Transf,OWNER,MED
A1557669,2018-01-06,2018-01-13,LiveC,STRAY,SMALL
A1557671,2018-01-06,2018-01-13,LiveC,STRAY,SMALL
A1556263,2018-01-06,2018-01-20,LiveC,OTHER,LRG
A1549550,2018-01-06,2018-01-09,LiveC,STRAY,SMALL
A1549520,2018-01-06,2018-03-16,LiveC,OTHER,_UNKNOWN_
A1557676,2018-01-06,2018-01-13,LiveC,STRAY,SMALL
A1557677,2018-01-06,2018-01-13,LiveC,STRAY,SMALL
A1557678,2018-01-06,2018-01-08,LiveC,STRAY,LRG
A0844320,2018-01-06,2018-01-07,LiveC,STRAY,TOY
A1557682,2018-01-06,2018-01-12,LiveC,STRAY,MED
A1557715,2018-01-06,2018-01-07,LiveC,STRAY,MED
A1557743,2018-01-07,2018-01-13,LiveC,STRAY,SMALL
A0744624,2018-01-07,2018-01-08,LiveC,STRAY,SMALL
A1557781,2018-01-07,2018-01-13,Transf,STRAY,LRG
A1557782,2018-01-07,2018-01-08,LiveC,STRAY,LRG
A1557783,2018-01-07,2018-01-08,LiveC,STRAY,LRG
A1520734,2018-01-07,2018-01-09,LiveC,OWNER,LRG
A1557804,2018-01-07,2018-01-20,LiveC,OTHER,LRG
A1556925,2018-01-07,2018-01-10,LiveC,OTHER,LRG
A0999691,2018-01-07,2018-01-08,LiveC,STRAY,LRG
A1557848,2018-01-07,2018-01-09,LiveC,STRAY,LRG
A1557839,2018-01-07,2018-01-08,LiveC,STRAY,MED
A1212453,2018-01-08,2018-01-08,LiveC,STRAY,LRG
A1557921,2018-01-08,2018-01-12,Transf,STRAY,LRG
A1557926,2018-01-08,2018-01-29,LiveC,STRAY,LRG
A1551951,2018-01-08,2018-01-08,LiveC,OWNER,MED
A1557932,2018-01-08,2018-01-11,LiveC,STRAY,SMALL
A1557938,2018-01-08,2018-01-13,LiveC,STRAY,MED
A1557939,2018-01-08,2018-01-13,LiveC,STRAY,SMALL
A1557951,2018-01-08,2018-01-19,LiveC,STRAY,SMALL
A1557973,2018-01-08,2018-01-12,NonL,STRAY,SMALL
A1557992,2018-01-08,2018-01-20,Transf,STRAY,SMALL
A1557995,2018-01-08,2018-01-20,Transf,STRAY,SMALL
A0673048,2018-01-08,2018-01-09,LiveC,STRAY,SMALL
A1555688,2018-01-08,2018-01-10,LiveC,STRAY,LRG
A1556898,2018-01-08,2018-01-09,LiveC,OTHER,LRG
A1558010,2018-01-08,2018-01-13,LiveC,STRAY,PUPPY
A1558015,2018-01-08,2018-01-12,LiveC,OWNER,LRG
A1558023,2018-01-08,2018-01-09,LiveC,STRAY,MED
A1334997,2018-01-09,2018-01-09,LiveC,OTHER,LRG
A1558114,2018-01-09,2018-01-16,LiveC,STRAY,MED
A1558116,2018-01-09,2018-01-16,LiveC,STRAY,SMALL
A1558115,2018-01-09,2018-01-14,LiveC,STRAY,LRG
A1558117,2018-01-09,2018-01-25,Transf,STRAY,MED
A1558118,2018-01-09,2018-01-18,Transf,STRAY,LRG
A1558122,2018-01-09,2018-01-09,NonL,STRAY,SMALL
A1558132,2018-01-09,2018-01-20,Transf,STRAY,SMALL
A1558163,2018-01-09,2018-01-10,LiveC,STRAY,MED
A1558165,2018-01-09,2018-01-16,LiveC,STRAY,LRG
A1558166,2018-01-09,2018-01-10,LiveC,STRAY,LRG
A1558167,2018-01-09,2018-01-10,LiveC,STRAY,LRG
A1558172,2018-01-09,2018-01-19,LiveC,STRAY,LRG
A1558184,2018-01-09,2018-01-28,LiveC,STRAY,MED
A1303725,2018-01-10,2018-01-19,NonL,STRAY,MED
A1558219,2018-01-10,2018-01-10,LiveC,STRAY,MED
A1475412,2018-01-10,2018-01-26,Transf,STRAY,LRG
A1555688,2018-01-10,2018-01-12,Transf,OWNER,LRG
A0762016,2018-01-10,2018-01-12,LiveC,OWNER,TOY
A0998888,2018-01-10,2018-01-10,LiveC,STRAY,MED
A1558244,2018-01-10,2018-01-10,LiveC,STRAY,MED
A1295948,2018-01-10,2018-01-12,LiveC,OWNER,MED
A1558289,2018-01-10,2018-01-11,LiveC,STRAY,SMALL
A1558291,2018-01-10,2018-01-13,LiveC,STRAY,SMALL
A1558298,2018-01-10,2018-01-13,LiveC,OWNER,LRG
A1464735,2018-01-10,2018-01-11,LiveC,STRAY,LRG
A1558308,2018-01-10,2018-01-20,LiveC,STRAY,LRG
A1539823,2018-01-11,2018-01-14,NonL,OTHER,LRG
A1558336,2018-01-11,2018-01-11,LiveC,STRAY,LRG
A1556715,2018-01-11,2018-01-22,Transf,OTHER,MED
A1557853,2018-01-11,2018-01-17,LiveC,OTHER,LRG
A1558351,2018-01-11,2018-01-18,Transf,STRAY,MED
A1553407,2018-01-11,2018-02-04,LiveC,OTHER,LRG
A1555714,2018-01-11,2018-01-13,LiveC,OTHER,LRG
A1558356,2018-01-11,2018-03-10,Transf,OTHER,LRG
A1558366,2018-01-11,2018-01-17,LiveC,STRAY,SMALL
A1558372,2018-01-11,2018-02-17,LiveC,STRAY,MED
A1180746,2018-01-11,2018-01-12,LiveC,STRAY,SMALL
A1558377,2018-01-11,2018-01-17,LiveC,STRAY,SMALL
A1558379,2018-01-11,2018-01-18,Transf,STRAY,SMALL
A1558385,2018-01-11,2018-01-12,LiveC,STRAY,SMALL
A1558386,2018-01-11,2018-01-12,LiveC,STRAY,SMALL
A1558388,2018-01-11,2018-01-12,LiveC,STRAY,SMALL
A1558390,2018-01-11,2018-02-09,Transf,STRAY,LRG
A1558400,2018-01-11,2018-01-17,LiveC,OWNER,PUPPY
A1177076,2018-01-11,2018-01-13,LiveC,OWNER,SMALL
A1162722,2018-01-11,2018-01-13,LiveC,OWNER,SMALL
A1558417,2018-01-11,2018-01-17,LiveC,STRAY,MED
A1558450,2018-01-12,2018-01-17,LiveC,OWNER,SMALL
A1558452,2018-01-12,2018-01-12,LiveC,STRAY,SMALL
A1556327,2018-01-12,2018-03-15,Transf,STRAY,LRG
A1558458,2018-01-12,2018-01-23,LiveC,STRAY,MED
A1558460,2018-01-12,2018-01-13,LiveC,STRAY,LRG
A1551951,2018-01-12,2018-03-06,Transf,OTHER,MED
A1558467,2018-01-12,2018-01-20,LiveC,STRAY,MED
A1558469,2018-01-12,2018-01-18,LiveC,STRAY,SMALL
A1558472,2018-01-12,2018-01-18,LiveC,STRAY,PUPPY
A1026972,2018-01-12,2018-01-13,LiveC,STRAY,SMALL
A1558474,2018-01-12,2018-01-13,LiveC,STRAY,SMALL
A1553219,2018-01-12,2018-01-14,LiveC,OTHER,LRG
A1558479,2018-01-12,2018-01-18,LiveC,STRAY,LRG
A1558536,2018-01-12,2018-01-13,LiveC,STRAY,SMALL
A1371873,2018-01-12,2018-01-21,LiveC,OTHER,SMALL
A1558555,2018-01-12,2018-01-13,NonL,STRAY,LRG
A1266523,2018-01-12,2018-01-16,LiveC,STRAY,LRG
A1026335,2018-01-13,2018-02-03,Transf,OWNER,LRG
A1557663,2018-01-13,2018-01-14,LiveC,OTHER,LRG
A1558601,2018-01-13,2018-01-17,LiveC,STRAY,MED
A1558605,2018-01-13,2018-01-20,LiveC,STRAY,MED
A1080019,2018-01-13,2018-01-14,LiveC,STRAY,SMALL
A1558609,2018-01-13,2018-01-24,LiveC,STRAY,SMALL
A1558610,2018-01-13,2018-02-03,LiveC,STRAY,SMALL
A1558608,2018-01-13,2018-01-16,LiveC,STRAY,MED
A1558613,2018-01-13,2018-01-20,LiveC,STRAY,PUPPY
A1558621,2018-01-13,2018-01-14,LiveC,STRAY,MED
A1558628,2018-01-13,2018-01-20,LiveC,STRAY,SMALL
A1055290,2018-01-13,2018-01-20,Transf,OWNER,TOY
A1558629,2018-01-13,2018-01-20,Transf,STRAY,SMALL
A1558637,2018-01-13,2018-01-14,LiveC,STRAY,LRG
A1558639,2018-01-13,2018-01-17,LiveC,OWNER,SMALL
A1270745,2018-01-13,2018-02-11,LiveC,OTHER,LRG
A1558655,2018-01-13,2018-01-21,LiveC,STRAY,SMALL
A1558675,2018-01-13,2018-01-17,LiveC,OWNER,PUPPY
A1558682,2018-01-13,2018-01-14,LiveC,OTHER,PUPPY
A1558710,2018-01-13,2018-01-20,LiveC,STRAY,SMALL
A1436163,2018-01-13,2018-01-14,LiveC,STRAY,TOY
A1558713,2018-01-13,2018-01-14,LiveC,STRAY,SMALL
A1558715,2018-01-13,2018-01-14,LiveC,STRAY,SMALL
A1450863,2018-01-13,2018-01-14,LiveC,STRAY,SMALL
A0884051,2018-01-14,2018-01-16,LiveC,STRAY,TOY
A1558739,2018-01-14,2018-01-17,LiveC,OTHER,SMALL
A1558745,2018-01-14,2018-01-18,LiveC,STRAY,MED
A1558758,2018-01-14,2018-01-18,Transf,STRAY,MED
A1109081,2018-01-14,2018-01-24,LiveC,OWNER,TOY
A1558777,2018-01-14,2018-01-20,Transf,STRAY,MED
A1558784,2018-01-14,2018-01-14,LiveC,STRAY,LRG
A1553478,2018-01-14,2018-02-26,Transf,OTHER,LRG
A1558788,2018-01-14,2018-01-17,LiveC,STRAY,MED
A0762016,2018-01-14,2018-01-16,LiveC,OTHER,TOY
A1530329,2018-01-14,2018-01-14,LiveC,STRAY,SMALL
A1558818,2018-01-14,2018-01-20,Transf,STRAY,SMALL
A1495056,2018-01-15,2018-01-23,LiveC,OTHER,MED
A1558848,2018-01-15,2018-01-25,LiveC,STRAY,LRG
A1558849,2018-01-15,2018-02-04,LiveC,STRAY,LRG
A1558851,2018-01-15,2018-01-20,LiveC,STRAY,MED
A1558852,2018-01-15,2018-01-15,NonL,STRAY,PUPPY
A1558862,2018-01-15,2018-02-02,LiveC,OTHER,MED
A1112242,2018-01-16,2018-01-16,LiveC,OTHER,LRG
A1459897,2018-01-16,2018-01-16,LiveC,STRAY,LRG
A1459896,2018-01-16,2018-01-16,LiveC,STRAY,LRG
A1558895,2018-01-16,2018-01-23,NonL,STRAY,SMALL
A1558896,2018-01-16,2018-01-23,LiveC,STRAY,SMALL
A1557574,2018-01-16,2018-01-18,LiveC,OTHER,PUPPY
A1558904,2018-01-16,2018-01-23,LiveC,STRAY,LRG
A1558908,2018-01-16,2018-01-18,Transf,STRAY,SMALL
A1320500,2018-01-16,2018-01-16,LiveC,OTHER,LRG
A1558914,2018-01-16,2018-01-26,LiveC,STRAY,SMALL
A1558917,2018-01-16,2018-01-17,LiveC,STRAY,SMALL
A1558918,2018-01-16,2018-01-24,LiveC,STRAY,MED
A1558921,2018-01-16,2018-01-24,LiveC,STRAY,SMALL
A1558922,2018-01-16,2018-01-24,LiveC,STRAY,SMALL
A1558923,2018-01-16,2018-01-19,LiveC,STRAY,MED
A1558927,2018-01-16,2018-01-24,LiveC,STRAY,SMALL
A1558936,2018-01-16,2018-02-01,LiveC,STRAY,SMALL
A1558941,2018-01-16,2018-04-28,LiveC,STRAY,LRG
A1558960,2018-01-16,2018-01-24,LiveC,STRAY,LRG
A1459897,2018-01-16,2018-01-27,LiveC,OWNER,LRG
A1558990,2018-01-16,2018-02-01,LiveC,STRAY,SMALL
A1311798,2018-01-16,2018-01-17,LiveC,STRAY,SMALL
A1559001,2018-01-16,2018-01-18,LiveC,OTHER,SMALL
A1559002,2018-01-16,2018-01-18,LiveC,OTHER,LRG
A1559042,2018-01-17,2018-01-19,LiveC,OTHER,LRG
A1559043,2018-01-17,2018-01-24,LiveC,STRAY,LRG
A1559060,2018-01-17,2018-01-27,LiveC,STRAY,LRG
A1558788,2018-01-17,2018-01-20,LiveC,OWNER,MED
A1455863,2018-01-17,2018-01-17,LiveC,STRAY,TOY
A1474699,2018-01-17,2018-01-25,LiveC,OTHER,SMALL
A1559094,2018-01-17,2018-01-24,LiveC,STRAY,PUPPY
A1062605,2018-01-17,2018-02-05,LiveC,OWNER,LRG
A1559121,2018-01-17,2018-01-31,LiveC,STRAY,SMALL
A1559154,2018-01-17,2018-01-24,LiveC,STRAY,MED
A1559162,2018-01-17,2018-01-20,LiveC,OWNER,SMALL
A1559199,2018-01-18,2018-01-28,LiveC,STRAY,LRG
A1559198,2018-01-18,2018-01-19,LiveC,OTHER,MED
A1559207,2018-01-18,2018-02-04,LiveC,STRAY,LRG
A1559212,2018-01-18,2018-01-27,LiveC,STRAY,XL
A1559240,2018-01-18,2018-01-18,NonL,STRAY,SMALL
A1559242,2018-01-18,2018-01-25,LiveC,STRAY,SMALL
A1559248,2018-01-18,2018-01-22,LiveC,OWNER,XL
A1559250,2018-01-18,2018-01-27,LiveC,STRAY,SMALL
A1559251,2018-01-18,2018-02-05,LiveC,STRAY,SMALL
A1554899,2018-01-18,2018-04-08,LiveC,OTHER,LRG
A1558417,2018-01-18,2018-01-20,LiveC,OTHER,MED
A1559263,2018-01-18,2018-01-18,LiveC,STRAY,LRG
A1559274,2018-01-18,2018-01-25,LiveC,STRAY,MED
A1559285,2018-01-18,2018-01-26,LiveC,STRAY,XL
A1559291,2018-01-18,2018-01-22,LiveC,STRAY,SMALL
A1559300,2018-01-18,2018-01-26,LiveC,STRAY,LRG
A1111726,2018-01-18,2018-01-28,LiveC,OTHER,LRG
A1559338,2018-01-19,2018-01-27,LiveC,STRAY,MED
A1559354,2018-01-19,2018-01-19,LiveC,STRAY,MED
A1559360,2018-01-19,2018-02-04,Transf,STRAY,SMALL
A1559361,2018-01-19,2018-01-26,LiveC,STRAY,SMALL
A1464193,2018-01-19,2018-01-31,LiveC,OWNER,XL
A1559379,2018-01-19,2018-01-24,Transf,STRAY,SMALL
A1559402,2018-01-19,2018-02-06,LiveC,STRAY,MED
A1559404,2018-01-19,2018-02-02,LiveC,STRAY,MED
A1559431,2018-01-19,2018-01-20,LiveC,STRAY,LRG
A1279660,2018-01-19,2018-01-21,LiveC,STRAY,MED
A1279659,2018-01-19,2018-01-21,LiveC,STRAY,MED
A1559491,2018-01-20,2018-01-25,LiveC,STRAY,LRG
A1559498,2018-01-20,2018-01-25,LiveC,STRAY,PUPPY
A1559499,2018-01-20,2018-01-25,LiveC,STRAY,PUPPY
A1559503,2018-01-20,2018-01-20,NonL,OWNER,LRG
A1559505,2018-01-20,2018-01-20,LiveC,STRAY,LRG
A1559511,2018-01-20,2018-01-27,LiveC,STRAY,LRG
A1559517,2018-01-20,2018-01-27,LiveC,OWNER,LRG
A1559537,2018-01-20,2018-01-26,LiveC,STRAY,SMALL
A1559538,2018-01-20,2018-01-26,LiveC,STRAY,MED
A1557677,2018-01-20,2018-01-22,LiveC,OTHER,SMALL
A1559540,2018-01-20,2018-01-29,LiveC,STRAY,SMALL
A1559547,2018-01-20,2018-01-26,LiveC,STRAY,SMALL
A1559548,2018-01-20,2018-01-25,LiveC,STRAY,SMALL
A1559549,2018-01-20,2018-02-03,Transf,OWNER,LRG
A1559551,2018-01-20,2018-01-27,LiveC,STRAY,SMALL
A1559553,2018-01-20,2018-01-27,LiveC,STRAY,MED
A1559559,2018-01-20,2018-01-21,LiveC,STRAY,LRG
A1559561,2018-01-20,2018-01-21,LiveC,STRAY,LRG
A1557663,2018-01-20,2018-02-03,Transf,OTHER,LRG
A1559575,2018-01-20,2018-01-28,LiveC,OWNER,LRG
A1559583,2018-01-20,2018-01-30,LiveC,OTHER,SMALL
A1559585,2018-01-20,2018-02-06,Transf,OTHER,SMALL
A1559600,2018-01-21,2018-01-23,LiveC,OTHER,TOY
A1559610,2018-01-21,2018-01-22,LiveC,STRAY,SMALL
A1559615,2018-01-21,2018-01-23,LiveC,STRAY,MED
A0938079,2018-01-21,2018-01-27,LiveC,OWNER,LRG
A1558308,2018-01-21,2018-01-22,LiveC,OTHER,LRG
A1559619,2018-01-21,2018-03-08,Transf,STRAY,LRG
A1559620,2018-01-21,2018-02-16,LiveC,STRAY,MED
A1246141,2018-01-21,2018-01-31,LiveC,OTHER,TOY
A1558467,2018-01-21,2018-01-30,LiveC,OTHER,MED
A1559624,2018-01-21,2018-01-29,LiveC,STRAY,LRG
A1559625,2018-01-21,2018-01-27,LiveC,STRAY,LRG
A1559627,2018-01-21,2018-01-24,LiveC,OWNER,SMALL
A1559631,2018-01-21,2018-01-21,LiveC,STRAY,LRG
A1559638,2018-01-21,2018-01-22,LiveC,STRAY,LRG
A1559641,2018-01-21,2018-01-26,LiveC,STRAY,PUPPY
A1559642,2018-01-21,2018-01-27,LiveC,STRAY,LRG
A1559643,2018-01-21,2018-01-27,LiveC,STRAY,SMALL
A1559648,2018-01-21,2018-01-21,NonL,STRAY,MED
A1559652,2018-01-22,2018-01-27,LiveC,OTHER,PUPPY
A1559683,2018-01-22,2018-03-13,Transf,STRAY,LRG
A1538783,2018-01-22,2018-01-27,LiveC,OWNER,LRG
A1232105,2018-01-22,2018-04-22,LiveC,OTHER,LRG
A1515332,2018-01-22,2018-01-24,LiveC,STRAY,LRG
A1496269,2018-01-22,2018-01-22,LiveC,STRAY,SMALL
A1432506,2018-01-22,2018-07-26,NonL,OTHER,_UNKNOWN_
A1559789,2018-01-23,2018-01-23,LiveC,STRAY,MED
A1559790,2018-01-23,2018-01-26,LiveC,OTHER,MED
A1559820,2018-01-23,2018-01-27,LiveC,STRAY,SMALL
A1559827,2018-01-23,2018-02-07,Transf,STRAY,SMALL
A1559844,2018-01-23,2018-02-03,LiveC,STRAY,LRG
A1559845,2018-01-23,2018-01-30,LiveC,STRAY,LRG
A1559851,2018-01-23,2018-01-30,LiveC,STRAY,PUPPY
A1109566,2018-01-23,2018-01-26,LiveC,STRAY,TOY
A1559855,2018-01-23,2018-02-04,LiveC,STRAY,SMALL
A1559856,2018-01-23,2018-01-31,LiveC,STRAY,LRG
A1559858,2018-01-23,2018-01-31,LiveC,STRAY,LRG
A1559859,2018-01-23,2018-02-13,LiveC,OTHER,MED
A1559872,2018-01-23,2018-01-24,LiveC,STRAY,LRG
A1503847,2018-01-23,2018-01-25,LiveC,OTHER,MED
A1559880,2018-01-23,2018-01-31,LiveC,STRAY,PUPPY
A1559882,2018-01-23,2018-01-31,LiveC,STRAY,PUPPY
A1554753,2018-01-23,2018-01-28,Transf,OTHER,SMALL
A1559905,2018-01-23,2018-01-31,LiveC,OWNER,LRG
A1559907,2018-01-23,2018-01-28,LiveC,OWNER,SMALL
A1559913,2018-01-23,2018-02-10,LiveC,STRAY,SMALL
A1559925,2018-01-23,2018-01-31,LiveC,STRAY,SMALL
A1559951,2018-01-23,2018-01-24,LiveC,STRAY,LRG
A1559982,2018-01-24,2018-02-02,LiveC,STRAY,SMALL
A1559984,2018-01-24,2018-01-27,LiveC,STRAY,LRG
A1515332,2018-01-24,2018-01-31,LiveC,OWNER,LRG
A1556263,2018-01-24,2018-03-13,Transf,OTHER,LRG
A1560007,2018-01-24,2018-01-25,LiveC,STRAY,LRG
A1560014,2018-01-24,2018-01-25,LiveC,OTHER,MED
A1560010,2018-01-24,2018-01-25,LiveC,OTHER,MED
A1560011,2018-01-24,2018-01-25,LiveC,OTHER,LRG
A1560012,2018-01-24,2018-01-25,LiveC,OTHER,MED
A1560013,2018-01-24,2018-01-25,LiveC,OTHER,LRG
A1560018,2018-01-24,2018-01-31,LiveC,STRAY,PUPPY
A1560019,2018-01-24,2018-01-31,LiveC,STRAY,PUPPY
A1560020,2018-01-24,2018-01-31,LiveC,STRAY,LRG
A1551373,2018-01-24,2018-01-24,LiveC,OTHER,SMALL
A1551974,2018-01-24,2018-01-24,LiveC,OTHER,PUPPY
A1551973,2018-01-24,2018-01-24,LiveC,OTHER,PUPPY
A1529728,2018-01-24,2018-02-11,LiveC,STRAY,MED
A1551972,2018-01-24,2018-01-24,LiveC,OTHER,PUPPY
A1551971,2018-01-24,2018-01-24,LiveC,OTHER,PUPPY
A1560040,2018-01-24,2018-01-25,LiveC,STRAY,MED
A1560045,2018-01-24,2018-01-25,LiveC,STRAY,PUPPY
A1560046,2018-01-24,2018-01-27,LiveC,OWNER,LRG
A1560055,2018-01-24,2018-01-25,LiveC,STRAY,LRG
A1560065,2018-01-24,2018-01-31,LiveC,STRAY,SMALL
A1560066,2018-01-24,2018-01-31,Transf,STRAY,MED
A1560077,2018-01-24,2018-01-31,LiveC,STRAY,LRG
A1560059,2018-01-24,2018-03-05,LiveC,OTHER,LRG
A1560072,2018-01-24,2018-05-02,LiveC,OTHER,LRG
A1560097,2018-01-24,2018-03-17,Transf,STRAY,LRG
A1560109,2018-01-24,2018-02-22,LiveC,OTHER,SMALL
A1560110,2018-01-24,2018-02-22,LiveC,OTHER,SMALL
A1560117,2018-01-24,2018-01-31,LiveC,STRAY,MED
A1560128,2018-01-24,2018-01-25,LiveC,STRAY,MED
A1351670,2018-01-24,2018-01-25,LiveC,STRAY,SMALL
A1494324,2018-01-25,2018-01-26,LiveC,STRAY,LRG
